Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00      0.01     0.00    33386     0.00     0.00  std::remove_reference<EdgeButterfly&>::type&& std::move<EdgeButterfly&>(EdgeButterfly&)
  0.00      0.01     0.00    30583     0.00     0.00  __gnu_cxx::__normal_iterator<VVertexInfo*, std::vector<VVertexInfo, std::allocator<VVertexInfo> > >::operator--()
  0.00      0.01     0.00    27483     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.01     0.00    25472     0.00     0.00  __gnu_cxx::new_allocator<int>::_M_max_size() const
  0.00      0.01     0.00    23402     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.01     0.00    21774     0.00     0.00  bool __gnu_cxx::operator!=<EdgeButterfly*, std::vector<EdgeButterfly, std::allocator<EdgeButterfly> > >(__gnu_cxx::__normal_iterator<EdgeButterfly*, std::vector<EdgeButterfly, std::allocator<EdgeButterfly> > > const&, __gnu_cxx::__normal_iterator<EdgeButterfly*, std::vector<EdgeButterfly, std::allocator<EdgeButterfly> > > const&)
  0.00      0.01     0.00    18588     0.00     0.00  std::pair<int, int>* std::__niter_base<std::pair<int, int>*>(std::pair<int, int>*)
  0.00      0.01     0.00    18553     0.00     0.00  bool __gnu_cxx::operator< <VVertexInfo*, std::vector<VVertexInfo, std::allocator<VVertexInfo> > >(__gnu_cxx::__normal_iterator<VVertexInfo*, std::vector<VVertexInfo, std::allocator<VVertexInfo> > > const&, __gnu_cxx::__normal_iterator<VVertexInfo*, std::vector<VVertexInfo, std::allocator<VVertexInfo> > > const&)
  0.00      0.01     0.00    18553     0.00     0.00  std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<VVertexInfo> >, std::is_move_constructible<VVertexInfo>, std::is_move_assignable<VVertexInfo> >::value, void>::type std::swap<VVertexInfo>(VVertexInfo&, VVertexInfo&)
  0.00      0.01     0.00    18553     0.00     0.00  void std::iter_swap<__gnu_cxx::__normal_iterator<VVertexInfo*, std::vector<VVertexInfo, std::allocator<VVertexInfo> > >, __gnu_cxx::__normal_iterator<VVertexInfo*, std::vector<VVertexInfo, std::allocator<VVertexInfo> > > >(__gnu_cxx::__normal_iterator<VVertexInfo*, std::vector<VVertexInfo, std::allocator<VVertexInfo> > >, __gnu_cxx::__normal_iterator<VVertexInfo*, std::vector<VVertexInfo, std::allocator<VVertexInfo> > >)
  0.00      0.01     0.00    18078     0.00     0.00  std::pair<int, int>* std::__addressof<std::pair<int, int> >(std::pair<int, int>&)
  0.00      0.01     0.00    17488     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int const&>(int*, int const&)
  0.00      0.01     0.00    17488     0.00     0.00  void std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&)
  0.00      0.01     0.00    17488     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int const&)
  0.00      0.01     0.00    16968     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00      0.01     0.00    16968     0.00     0.00  std::allocator_traits<std::allocator<int> >::max_size(std::allocator<int> const&)
  0.00      0.01     0.00    16968     0.00     0.00  std::vector<int, std::allocator<int> >::_S_max_size(std::allocator<int> const&)
  0.00      0.01     0.00    16960     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  0.00      0.01     0.00    16958     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      0.01     0.00    16938     0.00     0.00  std::vector<int, std::allocator<int> >::max_size() const
  0.00      0.01     0.00    16907     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      0.01     0.00    16836     0.00     0.00  std::vector<int, std::allocator<int> >::_S_relocate(int*, int*, int*, std::allocator<int>&)
  0.00      0.01     0.00    16836     0.00     0.00  std::vector<int, std::allocator<int> >::_S_do_relocate(int*, int*, int*, std::allocator<int>&, std::integral_constant<bool, true>)
  0.00      0.01     0.00    16836     0.00     0.00  int* std::__relocate_a<int*, int*, std::allocator<int> >(int*, int*, int*, std::allocator<int>&)
  0.00      0.01     0.00    16836     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<int, void>::value, int*>::type std::__relocate_a_1<int, int>(int*, int*, int*, std::allocator<int>&)
